SMILES,Most Basic,Most Acidic,Mass Solubility pH 1,Mass Solubility pH 2,Mass Solubility pH 3,Mass Solubility pH 4,Mass Solubility pH 5,Mass Solubility pH 6,Mass Solubility pH 7,Mass Solubility pH 8,Mass Solubility pH 9,Mass Solubility pH 10,LogD pH 1,LogD pH 2,LogD pH 3,LogD pH 4,LogD pH 5,LogD pH 6,LogD pH 7,LogD pH 8,LogD pH 9,LogD pH 10,Water Solubility,Caco-2 permeable,Melting Point (°C),Boiling Point (°C),Bioavailability,Bi Basic,Bi Acidic
CC(C(O)=O)c1ccc(c(F)c1)c2ccccc2,,4.14,0.032,0.032,0.034,0.054,0.27,2.3,20.0,100.0,160.0,180.0,3.66,3.65,3.63,3.42,2.74,1.8,0.85,0.16,-0.06,-0.09,0.008,0.8866,110.5,,1.0,0,1
CC(C(O)=O)c1ccc(cc1)C(=O)c2sccc2,,4.07,0.12,0.12,0.13,0.22,1.1,10.0,89.0,406.0,633.0,669.0,2.18,2.18,2.15,1.91,1.2,0.25,-0.69,-1.35,-1.54,-1.57,,0.6039,124.3,,1.0,0,1
CC(C(O)=O)c1ccc2c([nH]c3ccc(Cl)cc23)c1,-5.73,4.84,0.0015,0.0015,0.0015,0.0017,0.0033,0.02,0.18,1.5,5.7,7.9,3.84,3.84,3.84,3.79,3.49,2.71,1.75,0.83,0.25,0.11,,0.5595,197,,1.0,1,1
CC(C(O)=O)c1ccc2oc(nc2c1)c3ccc(Cl)cc3,0.38,4.36,0.033,0.022,0.021,0.024,0.057,0.39,3.6,28.0,87.0,110.0,3.52,3.69,3.71,3.64,3.27,2.44,1.47,0.58,0.09,-0.02,0.0317,-0.5319,,,1.0,1,1
CC(C(O)=O)c1cccc(Oc2ccccc2)c1,,4.2,0.034,0.034,0.036,0.056,0.27,2.2,20.0,100.0,180.0,190.0,3.72,3.72,3.7,3.51,2.86,1.92,0.97,0.25,0.01,-0.02,,0.8876,169.5,,1.0,0,1
CC(C(O)=O)c1cccc(c1)C(=O)c2ccccc2,,4.23,0.11,0.11,0.11,0.17,0.74,6.4,58.0,310.0,554.0,603.0,2.91,2.91,2.89,2.71,2.07,1.14,0.19,-0.55,-0.8,-0.84,0.051,0.8866,94,,1.0,0,1
CC(C(O)=O)c1sc(cc1)C(=O)c2ccccc2,,4.05,0.086,0.089,0.094,0.16,0.86,7.5,68.0,299.0,458.0,484.0,2.57,2.57,2.53,2.3,1.58,0.63,-0.31,-0.96,-1.15,-1.18,0.0324,0.6039,96,,1.0,0,1
CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,2.62,,8.8,1.2,0.27,0.17,0.16,0.16,0.16,0.16,0.16,0.16,-1.45,-0.58,0.07,0.26,0.29,0.29,0.29,0.29,0.29,0.29,0.53,0.5516,,,1.0,1,0
CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,9.42,4.43,13.0,13.0,12.0,9.5,6.5,6.0,6.0,6.0,7.5,19.0,0.63,0.64,0.68,0.89,1.16,1.22,1.23,1.22,1.11,0.65,,0.5,142.5,,1.0,1,1
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2ccnc2,5.66,,50.0,47.0,29.0,6.4,0.85,0.23,0.16,0.16,0.16,0.16,0.99,1.01,1.21,1.88,2.75,3.32,3.47,3.48,3.49,3.49,0.0595,,,,1.0,1,0
CC(C)(C)C(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,,0.6211,,,1.0,0,0
CC(C)(C)C(=O)OCOC(=O)C1N2[C@H](SC1(C)C)[C@H](N=CN3CCCCCC3)C2=O,8.11,,10.0,10.0,10.0,9.7,9.2,5.7,1.2,0.22,0.11,0.1,-0.62,-0.62,-0.62,-0.62,-0.59,-0.37,0.29,1.03,1.33,1.38,0.0526,-0.5577,119,,1.0,1,0
CC(C)(C)C(=O)OCO[P](=O)(COCCn1cnc2c(N)ncnc12)OCOC(=O)C(C)(C)C,4.16,,30.0,15.0,2.5,0.36,0.13,0.11,0.11,0.11,0.11,0.11,-0.17,0.14,0.91,1.74,2.18,2.26,2.27,2.27,2.27,2.27,,-0.6281,,,0.0,1,0
CC(C)(C)C(=O)Oc1ccc(cc1)[S](=O)(=O)Nc2ccccc2C(=O)NCC(O)=O,-2.22,3.67,0.0078,0.0083,0.011,0.036,0.29,2.8,27.0,180.0,390.0,443.0,2.71,2.69,2.58,2.05,1.15,0.16,-0.82,-1.64,-1.98,-2.04,0.0152,,,,1.0,1,1
CC(C)(C)C(O)/C=C/c1ccc2OCOc2c1,,14.45,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,,,,365.4,1.0,0,1
CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,,12.32,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,0.00929,,,,1.0,0,1
